Material_Name,Formula,Category,Molar_Mass_g_mol,Model,A,B,C,D,E,T_min_K,T_max_K,Cp_Unit,Source
Mullite,3Al2O3-2SiO2,Refractories,426.05,Polynomial,850.0,0.28,-5e-05,0.0,0.0,298,1850,J/(kg*K),MatWeb
Magnesite Brick,MgO-90%,Refractories,42.0,Polynomial,920.0,0.21,-4e-05,0.0,0.0,298,2000,J/(kg*K),MatWeb
Zirconia Refractory,ZrO2-CaO,Refractories,120.0,Polynomial,480.0,0.12,-2e-05,0.0,0.0,298,2200,J/(kg*K),NASA Glenn Database
Chromite Refractory,FeCr2O4,Refractories,223.8,Polynomial,720.0,0.19,-3e-05,0.0,0.0,298,1900,J/(kg*K),NASA Glenn Database
Fireclay Brick,Al2O3-SiO2,Refractories,65.0,Polynomial,830.0,0.24,-4e-05,0.0,0.0,298,1600,J/(kg*K),MatWeb
Mullite Grade-A,3Al2O3-2SiO2-v1,Refractories,394.1,Polynomial,786.25,0.259,-4.625e-05,0.0,0.0,298,1850,J/(kg*K),MatWeb
Magnesite Brick Grade-B,MgO-90%-v2,Refractories,39.48,Polynomial,864.8,0.1974,-3.76e-05,0.0,0.0,298,2000,J/(kg*K),MatWeb
Zirconia Refractory Grade-C,ZrO2-CaO-v3,Refractories,114.6,Polynomial,458.4,0.1146,-1.91e-05,0.0,0.0,298,2200,J/(kg*K),NASA Glenn Database
Chromite Refractory Grade-D,FeCr2O4-v4,Refractories,217.09,Polynomial,698.4,0.1843,-2.91e-05,0.0,0.0,298,1900,J/(kg*K),NASA Glenn Database
Fireclay Brick Grade-E,Al2O3-SiO2-v5,Refractories,64.03,Polynomial,817.55,0.2364,-3.94e-05,0.0,0.0,298,1600,J/(kg*K),MatWeb
Mullite Grade-F,3Al2O3-2SiO2-v6,Refractories,426.05,Polynomial,850.0,0.28,-5e-05,0.0,0.0,298,1850,J/(kg*K),MatWeb
Magnesite Brick Grade-G,MgO-90%-v7,Refractories,42.63,Polynomial,933.8,0.21315,-4.06e-05,0.0,0.0,298,2000,J/(kg*K),MatWeb
Zirconia Refractory Grade-H,ZrO2-CaO-v8,Refractories,123.6,Polynomial,494.4,0.1236,-2.06e-05,0.0,0.0,298,2200,J/(kg*K),NASA Glenn Database
Chromite Refractory Grade-I,FeCr2O4-v9,Refractories,233.87,Polynomial,752.4,0.19855,-3.135e-05,0.0,0.0,298,1900,J/(kg*K),NASA Glenn Database
Fireclay Brick Grade-J,Al2O3-SiO2-v10,Refractories,68.9,Polynomial,879.8,0.2544,-4.24e-05,0.0,0.0,298,1600,J/(kg*K),MatWeb
Mullite Grade-K,3Al2O3-2SiO2-v11,Refractories,458.0,Polynomial,913.75,0.301,-5.375e-05,0.0,0.0,298,1850,J/(kg*K),MatWeb
Magnesite Brick Grade-L,MgO-90%-v12,Refractories,38.85,Polynomial,851.0,0.19425,-3.7e-05,0.0,0.0,298,2000,J/(kg*K),MatWeb
Zirconia Refractory Grade-M,ZrO2-CaO-v13,Refractories,112.8,Polynomial,451.2,0.1128,-1.88e-05,0.0,0.0,298,2200,J/(kg*K),NASA Glenn Database
Chromite Refractory Grade-N,FeCr2O4-v14,Refractories,213.73,Polynomial,687.6,0.18145,-2.865e-05,0.0,0.0,298,1900,J/(kg*K),NASA Glenn Database
Fireclay Brick Grade-O,Al2O3-SiO2-v15,Refractories,63.05,Polynomial,805.1,0.2328,-3.88e-05,0.0,0.0,298,1600,J/(kg*K),MatWeb
Mullite Grade-P,3Al2O3-2SiO2-v16,Refractories,419.66,Polynomial,837.25,0.2758,-4.925e-05,0.0,0.0,298,1850,J/(kg*K),MatWeb
Magnesite Brick Grade-Q,MgO-90%-v17,Refractories,42.0,Polynomial,920.0,0.21,-4e-05,0.0,0.0,298,2000,J/(kg*K),MatWeb
Zirconia Refractory Grade-R,ZrO2-CaO-v18,Refractories,121.8,Polynomial,487.2,0.1218,-2.03e-05,0.0,0.0,298,2200,J/(kg*K),NASA Glenn Database
Chromite Refractory Grade-S,FeCr2O4-v19,Refractories,230.51,Polynomial,741.6,0.1957,-3.09e-05,0.0,0.0,298,1900,J/(kg*K),NASA Glenn Database
CFRP (Carbon/Epoxy 60%),CFRP,Composite materials,50.0,Polynomial,920.0,0.65,-0.0002,0.0,0.0,200,450,J/(kg*K),AZoM Materials Database
GFRP (Glass/Epoxy 60%),GFRP,Composite materials,55.0,Polynomial,880.0,0.58,-0.00018,0.0,0.0,200,450,J/(kg*K),AZoM Materials Database
Kevlar/Epoxy (AFRP),AFRP,Composite materials,52.0,Polynomial,1100.0,0.72,-0.00022,0.0,0.0,200,430,J/(kg*K),MatWeb
Al-SiC Metal Matrix (20%),Al-SiC,Composite materials,30.5,Polynomial,780.0,0.38,-8e-05,0.0,0.0,298,800,J/(kg*K),AZoM Materials Database
Carbon-Carbon Composite,C-C,Composite materials,12.01,Polynomial,710.0,0.85,-0.0003,0.0,0.0,298,2500,J/(kg*K),MatWeb
CFRP (Carbon/Epoxy 60%) Grade-A,CFRP-v1,Composite materials,46.25,Polynomial,851.0,0.60125,-0.000185,0.0,0.0,200,450,J/(kg*K),AZoM Materials Database
GFRP (Glass/Epoxy 60%) Grade-B,GFRP-v2,Composite materials,51.7,Polynomial,827.2,0.5452,-0.0001692,0.0,0.0,200,450,J/(kg*K),AZoM Materials Database
Kevlar/Epoxy (AFRP) Grade-C,AFRP-v3,Composite materials,49.66,Polynomial,1050.5,0.6876,-0.0002101,0.0,0.0,200,430,J/(kg*K),MatWeb
Al-SiC Metal Matrix (20%) Grade-D,Al-SiC-v4,Composite materials,29.59,Polynomial,756.6,0.3686,-7.76e-05,0.0,0.0,298,800,J/(kg*K),AZoM Materials Database
Carbon-Carbon Composite Grade-E,C-C-v5,Composite materials,11.83,Polynomial,699.35,0.83725,-0.0002955,0.0,0.0,298,2500,J/(kg*K),MatWeb
CFRP (Carbon/Epoxy 60%) Grade-F,CFRP-v6,Composite materials,50.0,Polynomial,920.0,0.65,-0.0002,0.0,0.0,200,450,J/(kg*K),AZoM Materials Database
GFRP (Glass/Epoxy 60%) Grade-G,GFRP-v7,Composite materials,55.82,Polynomial,893.2,0.5887,-0.0001827,0.0,0.0,200,450,J/(kg*K),AZoM Materials Database
Kevlar/Epoxy (AFRP) Grade-H,AFRP-v8,Composite materials,53.56,Polynomial,1133.0,0.7416,-0.0002266,0.0,0.0,200,430,J/(kg*K),MatWeb
Al-SiC Metal Matrix (20%) Grade-I,Al-SiC-v9,Composite materials,31.87,Polynomial,815.1,0.3971,-8.36e-05,0.0,0.0,298,800,J/(kg*K),AZoM Materials Database
Carbon-Carbon Composite Grade-J,C-C-v10,Composite materials,12.73,Polynomial,752.6,0.901,-0.000318,0.0,0.0,298,2500,J/(kg*K),MatWeb
CFRP (Carbon/Epoxy 60%) Grade-K,CFRP-v11,Composite materials,53.75,Polynomial,989.0,0.69875,-0.000215,0.0,0.0,200,450,J/(kg*K),AZoM Materials Database
GFRP (Glass/Epoxy 60%) Grade-L,GFRP-v12,Composite materials,50.88,Polynomial,814.0,0.5365,-0.0001665,0.0,0.0,200,450,J/(kg*K),AZoM Materials Database
Kevlar/Epoxy (AFRP) Grade-M,AFRP-v13,Composite materials,48.88,Polynomial,1034.0,0.6768,-0.0002068,0.0,0.0,200,430,J/(kg*K),MatWeb
Al-SiC Metal Matrix (20%) Grade-N,Al-SiC-v14,Composite materials,29.13,Polynomial,744.9,0.3629,-7.64e-05,0.0,0.0,298,800,J/(kg*K),AZoM Materials Database
Carbon-Carbon Composite Grade-O,C-C-v15,Composite materials,11.65,Polynomial,688.7,0.8245,-0.000291,0.0,0.0,298,2500,J/(kg*K),MatWeb
CFRP (Carbon/Epoxy 60%) Grade-P,CFRP-v16,Composite materials,49.25,Polynomial,906.2,0.64025,-0.000197,0.0,0.0,200,450,J/(kg*K),AZoM Materials Database
GFRP (Glass/Epoxy 60%) Grade-Q,GFRP-v17,Composite materials,55.0,Polynomial,880.0,0.58,-0.00018,0.0,0.0,200,450,J/(kg*K),AZoM Materials Database
